MonthlyCharges,tenure,Contract,gender,SeniorCitizen,Partner,Dependents,InternetService,PaymentMethod,Actual_Churn,Predicted_Churn
24.8,1,Month-to-month,Female,0,Yes,No,DSL,Electronic check,1,1
25.25,41,Month-to-month,Male,0,No,No,No,Bank transfer (automatic),0,0
19.35,52,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
76.35,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
50.55,67,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
89.6,68,Month-to-month,Female,1,Yes,No,Fiber optic,Bank transfer (automatic),1,0
77.15,23,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
72.1,72,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
104.0,70,Two year,Male,0,No,No,Fiber optic,Credit card (automatic),1,0
19.4,1,Month-to-month,Male,0,No,No,No,Mailed check,1,0
20.45,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
84.05,34,Month-to-month,Male,0,Yes,Yes,Fiber optic,Mailed check,0,0
51.0,28,One year,Male,1,Yes,Yes,DSL,Electronic check,0,0
85.45,18,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
20.45,15,Month-to-month,Female,0,Yes,No,No,Credit card (automatic),0,0
95.15,11,Month-to-month,Female,1,No,No,Fiber optic,Bank transfer (automatic),1,1
53.75,11,Month-to-month,Male,0,No,No,DSL,Electronic check,1,0
70.0,1,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
88.8,37,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
89.4,22,Month-to-month,Male,0,No,Yes,Fiber optic,Electronic check,1,0
70.25,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
19.45,1,Month-to-month,Female,0,Yes,Yes,No,Electronic check,0,0
80.0,46,Month-to-month,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
107.45,51,One year,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
104.45,41,One year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
67.95,5,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),1,0
89.3,45,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
60.2,29,Month-to-month,Male,0,Yes,Yes,DSL,Mailed check,0,0
91.5,15,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,1
63.7,72,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
103.95,50,One year,Male,0,Yes,No,Fiber optic,Electronic check,0,0
20.6,27,Two year,Male,0,No,Yes,No,Mailed check,0,0
85.15,72,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
69.75,51,One year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
94.1,60,Month-to-month,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
19.45,17,Two year,Male,0,No,No,No,Credit card (automatic),0,0
21.15,72,Two year,Female,0,No,No,No,Bank transfer (automatic),0,0
104.4,33,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,0
104.9,66,One year,Female,1,Yes,Yes,Fiber optic,Electronic check,0,0
103.95,69,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,1
69.75,5,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
100.75,57,One year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
75.75,8,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
51.45,14,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
94.7,25,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),1,0
19.6,52,One year,Female,0,Yes,Yes,No,Credit card (automatic),0,0
76.45,7,Month-to-month,Female,1,No,No,Fiber optic,Bank transfer (automatic),1,0
79.8,13,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
89.85,15,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,0
55.15,22,One year,Male,0,No,No,DSL,Credit card (automatic),1,0
19.9,19,Month-to-month,Female,0,No,No,No,Mailed check,0,0
30.35,23,Month-to-month,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
113.65,72,Two year,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
98.35,72,Two year,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
96.65,59,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
75.35,70,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
101.1,70,Two year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
103.1,9,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
24.6,3,Month-to-month,Female,0,No,No,No,Mailed check,0,0
101.8,17,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,1
70.4,28,One year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
54.25,10,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
20.95,11,Month-to-month,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
102.65,72,Two year,Male,1,Yes,No,Fiber optic,Credit card (automatic),0,0
70.1,8,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,1,0
20.3,69,Two year,Male,1,No,No,No,Credit card (automatic),0,0
19.85,39,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
50.9,67,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.9,39,One year,Male,0,No,No,No,Mailed check,0,0
65.65,54,Two year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
74.5,1,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
60.0,72,Two year,Female,0,Yes,Yes,DSL,Electronic check,0,0
98.55,10,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
96.65,13,Month-to-month,Male,0,Yes,Yes,Fiber optic,Mailed check,1,1
99.25,35,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
35.5,12,Month-to-month,Male,0,Yes,Yes,DSL,Mailed check,0,0
90.55,31,Month-to-month,Male,0,Yes,No,Fiber optic,Credit card (automatic),0,0
108.25,53,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
19.5,1,Month-to-month,Male,0,No,No,No,Mailed check,0,1
19.7,30,One year,Male,0,No,No,No,Mailed check,0,0
74.8,46,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
89.65,19,Month-to-month,Female,0,Yes,No,Fiber optic,Mailed check,1,0
54.25,23,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,0
55.0,15,Month-to-month,Female,1,No,No,DSL,Credit card (automatic),1,0
20.15,48,Two year,Male,0,No,No,No,Credit card (automatic),0,0
95.9,25,Month-to-month,Male,0,No,Yes,Fiber optic,Electronic check,1,0
105.0,52,One year,Male,0,No,No,Fiber optic,Bank transfer (automatic),1,0
81.7,12,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),1,0
24.55,48,One year,Female,0,No,No,No,Bank transfer (automatic),0,0
20.05,38,Two year,Female,0,No,No,No,Mailed check,0,0
35.2,18,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
50.25,45,Month-to-month,Female,0,Yes,No,DSL,Credit card (automatic),0,0
89.55,12,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
102.4,66,Two year,Female,1,No,No,Fiber optic,Bank transfer (automatic),0,0
20.25,72,Two year,Female,0,No,No,No,Credit card (automatic),0,0
44.6,70,Two year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
90.15,27,Month-to-month,Female,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
20.0,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
95.25,13,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,1
90.45,65,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
70.2,14,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
85.45,17,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,0
20.95,31,One year,Female,0,No,No,No,Mailed check,0,0
24.2,24,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
20.2,3,Month-to-month,Female,0,No,No,No,Electronic check,0,0
76.65,17,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,0
68.75,66,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
53.3,45,Two year,Male,0,Yes,No,DSL,Credit card (automatic),0,0
91.5,35,Month-to-month,Male,0,Yes,No,Fiber optic,Credit card (automatic),0,0
40.25,40,One year,Male,0,No,Yes,DSL,Mailed check,0,0
84.7,10,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,0
64.3,52,One year,Female,0,Yes,No,DSL,Mailed check,0,0
19.45,13,Month-to-month,Female,0,No,No,No,Credit card (automatic),0,0
90.25,43,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
20.45,41,Month-to-month,Female,0,No,No,No,Electronic check,0,0
50.5,52,Month-to-month,Female,1,No,No,DSL,Electronic check,0,0
93.2,71,Two year,Female,0,Yes,No,DSL,Credit card (automatic),0,0
106.45,61,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,0
44.45,26,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),0,0
68.4,72,Two year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
78.45,42,Two year,Female,0,No,No,DSL,Credit card (automatic),0,0
65.2,57,Month-to-month,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
19.6,9,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
71.0,9,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
44.55,33,Month-to-month,Male,0,Yes,No,DSL,Credit card (automatic),0,0
19.45,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
79.0,7,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
71.55,1,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,1,0
